,ZIPCODE,BORO,FOOD POISONING CNT,FOOD INSPECTION VIOLATIONS
0,1106,QUEENS,1,0
1,10000,MANHATTAN,8,15
2,10001,MANHATTAN,512,3495
3,10002,MANHATTAN,354,3512
4,10003,MANHATTAN,721,4762
5,10004,MANHATTAN,115,1015
6,10005,MANHATTAN,55,497
7,10006,MANHATTAN,38,325
8,10007,MANHATTAN,185,1044
9,10009,MANHATTAN,251,2152
10,10010,MANHATTAN,260,1804
11,10011,MANHATTAN,532,3161
12,10012,MANHATTAN,346,2945
13,10013,MANHATTAN,445,3862
14,10014,MANHATTAN,308,2690
15,10016,MANHATTAN,542,3464
16,10017,MANHATTAN,354,2626
17,10018,MANHATTAN,312,2594
18,10019,MANHATTAN,699,4831
19,10020,MANHATTAN,35,213
20,10021,MANHATTAN,196,1130
21,10022,MANHATTAN,450,3187
22,10023,MANHATTAN,321,1305
23,10024,MANHATTAN,290,1359
24,10025,MANHATTAN,356,1695
25,10026,MANHATTAN,119,615
26,10027,MANHATTAN,290,1212
27,10028,MANHATTAN,253,1467
28,10029,MANHATTAN,268,1567
29,10030,MANHATTAN,74,214
30,10031,MANHATTAN,120,882
31,10032,MANHATTAN,135,933
32,10033,MANHATTAN,152,825
33,10034,MANHATTAN,106,793
34,10035,MANHATTAN,161,633
35,10036,MANHATTAN,595,4370
36,10037,MANHATTAN,75,219
37,10038,MANHATTAN,195,1318
38,10039,MANHATTAN,61,217
39,10040,MANHATTAN,68,559
40,10044,MANHATTAN,13,49
41,10065,MANHATTAN,180,1348
42,10069,MANHATTAN,4,6
43,10075,MANHATTAN,98,640
44,10103,MANHATTAN,1,36
45,10111,MANHATTAN,3,66
46,10112,MANHATTAN,13,81
47,10118,MANHATTAN,2,50
48,10119,MANHATTAN,10,169
49,10121,MANHATTAN,14,360
50,10128,MANHATTAN,148,1135
51,10165,MANHATTAN,2,12
52,10168,MANHATTAN,1,5
53,10168,MANHATTAN,1,3
54,10169,MANHATTAN,3,138
55,10177,MANHATTAN,1,6
56,10178,MANHATTAN,1,26
57,10179,MANHATTAN,1,7
58,10271,MANHATTAN,3,24
59,10280,MANHATTAN,17,191
60,10281,MANHATTAN,10,74
61,10281,MANHATTAN,10,6
62,10282,MANHATTAN,22,115
63,10301,STATEN ISLAND,110,773
64,10302,STATEN ISLAND,93,482
65,10303,STATEN ISLAND,72,229
66,10304,STATEN ISLAND,86,341
67,10305,STATEN ISLAND,111,718
68,10306,STATEN ISLAND,132,741
69,10307,STATEN ISLAND,25,178
70,10308,STATEN ISLAND,42,353
71,10309,STATEN ISLAND,60,475
72,10310,STATEN ISLAND,65,478
73,10312,STATEN ISLAND,67,544
74,10314,STATEN ISLAND,224,1242
75,10451,BRONX,177,1068
76,10452,BRONX,168,796
77,10453,BRONX,138,768
78,10454,BRONX,94,609
79,10455,BRONX,114,781
80,10456,BRONX,145,624
81,10457,BRONX,129,634
82,10458,BRONX,159,1435
83,10459,BRONX,100,599
84,10460,BRONX,102,440
85,10461,BRONX,156,1099
86,10462,BRONX,215,1035
87,10463,BRONX,189,928
88,10463,MANHATTAN,1,928
89,10464,BRONX,43,285
90,10465,BRONX,69,536
91,10466,BRONX,88,654
92,10467,BRONX,266,1191
93,10468,BRONX,162,775
94,10469,BRONX,120,716
95,10470,BRONX,14,301
96,10471,BRONX,46,350
97,10472,BRONX,122,760
98,10473,BRONX,83,217
99,10474,BRONX,32,239
100,10475,BRONX,109,430
101,11004,QUEENS,36,224
102,11005,QUEENS,5,32
103,11021,QUEENS,1,0
104,11027,MANHATTAN,1,0
105,11040,QUEENS,16,155
106,11101,QUEENS,242,2060
107,11102,QUEENS,94,653
108,11103,QUEENS,163,1680
109,11104,QUEENS,96,853
110,11105,QUEENS,120,1048
111,11106,QUEENS,168,1249
112,11109,QUEENS,5,61
113,11201,BROOKLYN,431,2943
114,11203,BROOKLYN,119,1094
115,11204,BROOKLYN,110,1087
116,11205,BROOKLYN,141,1112
117,11206,BROOKLYN,161,1095
118,11207,BROOKLYN,226,1066
119,11208,BROOKLYN,190,920
120,11209,BROOKLYN,251,1921
121,11210,BROOKLYN,89,625
122,11211,BROOKLYN,236,2472
123,11212,BROOKLYN,196,822
124,11213,BROOKLYN,141,860
125,11214,BROOKLYN,250,1519
126,11215,BROOKLYN,269,2437
127,11216,BROOKLYN,172,1184
128,11217,BROOKLYN,260,1851
129,11218,BROOKLYN,168,1205
130,11219,BROOKLYN,144,803
131,11220,BROOKLYN,327,2891
132,11221,BROOKLYN,153,862
133,11222,BROOKLYN,143,1521
134,11223,BROOKLYN,180,1349
135,11224,BROOKLYN,158,509
136,11225,BROOKLYN,111,949
137,11226,BROOKLYN,295,1598
138,11228,BROOKLYN,45,446
139,11229,BROOKLYN,168,1006
140,11230,BROOKLYN,176,835
141,11231,BROOKLYN,99,1144
142,11232,BROOKLYN,59,917
143,11233,BROOKLYN,159,555
144,11234,BROOKLYN,143,1097
145,11235,BROOKLYN,355,1294
146,11236,BROOKLYN,160,940
147,11237,BROOKLYN,134,1640
148,11238,BROOKLYN,172,1669
149,11239,BROOKLYN,59,136
150,11249,BROOKLYN,74,1176
151,11249,BROOKLYN,74,38
152,11354,QUEENS,341,2974
153,11355,QUEENS,231,1696
154,11356,QUEENS,64,377
155,11357,QUEENS,46,540
156,11358,QUEENS,87,1097
157,11360,QUEENS,25,143
158,11361,QUEENS,83,1000
159,11362,QUEENS,36,389
160,11363,QUEENS,16,101
161,11364,QUEENS,72,379
162,11365,QUEENS,74,350
163,11366,QUEENS,58,391
164,11367,QUEENS,118,404
165,11368,QUEENS,153,2041
166,11369,QUEENS,57,608
167,11370,QUEENS,24,96
168,11371,QUEENS,1,3
169,11371,QUEENS,1,11
170,11372,QUEENS,392,2747
171,11373,QUEENS,201,1716
172,11374,QUEENS,202,737
173,11375,QUEENS,264,1591
174,11377,QUEENS,170,1540
175,11378,QUEENS,70,628
176,11379,QUEENS,41,313
177,11385,QUEENS,176,1954
178,11411,QUEENS,17,162
179,11412,QUEENS,44,302
180,11413,QUEENS,57,335
181,11414,QUEENS,90,418
182,11415,QUEENS,55,257
183,11416,QUEENS,52,303
184,11417,QUEENS,77,588
185,11418,QUEENS,86,669
186,11419,QUEENS,150,747
187,11420,QUEENS,80,658
188,11421,QUEENS,62,629
189,11422,QUEENS,36,255
190,11423,QUEENS,32,225
191,11426,QUEENS,36,224
192,11427,QUEENS,31,157
193,11428,QUEENS,26,336
194,11429,QUEENS,29,190
195,11430,BROOKLYN,1,857
196,11430,QUEENS,52,857
197,11432,QUEENS,245,1379
198,11433,QUEENS,65,203
199,11434,QUEENS,134,549
200,11435,QUEENS,162,885
201,11436,QUEENS,22,141
202,11559,QUEENS,1,0
203,11581,QUEENS,1,0
204,11691,QUEENS,89,406
205,11692,QUEENS,29,68
206,11693,QUEENS,20,199
207,11694,QUEENS,45,269
208,11697,QUEENS,5,26
209,99999,MANHATTAN,1,0
